candidate_id,c_0,delta_decay_power,mean_final_regret,worst_final_regret,mean_path_regret,final_reference_price,final_price_estimate,rank_by_mean,rank_by_worst,role
c0_0_05_decay_0_2,0.05,0.2,10.615064201935546,13.316241963048787,7.601826503322987,1.0782238529050931,1.087697081445783,1,1,mean-best;minimax-best
c0_0_05_decay_0_25,0.05,0.25,10.703908588984586,13.777822521556605,7.523109452512506,1.0804228206850388,1.086672820685039,2,2,candidate
c0_0_05_decay_0_3,0.05,0.3,10.815743955091468,14.189570542215595,7.519875547847296,1.082157273092465,1.0862807353136301,3,3,candidate
c0_0_15_decay_0_2,0.15,0.2,17.283574039784313,19.93076234145189,11.832913001214811,1.0571592633707434,1.0855789489928134,9,7,candidate
c0_0_15_decay_0_25,0.15,0.25,16.282047782953825,20.20736324943995,11.228718082560334,1.0632689922020246,1.0820189922020245,7,8,candidate
c0_0_15_decay_0_3,0.15,0.3,17.123260926691025,24.346959159665552,11.705994577087985,1.067648136031111,1.0800185226946066,8,9,candidate
c0_0_1_decay_0_2,0.1,0.2,14.193785759751657,18.403207204607195,10.14393217645516,1.0687614958541947,1.0877079529355749,6,6,candidate
c0_0_1_decay_0_25,0.1,0.25,13.085880200635609,14.392607385535205,9.532419470678349,1.0747504341335339,1.0872504341335338,4,4,default
c0_0_1_decay_0_3,0.1,0.3,13.33212801791471,14.971795674730748,9.508651712391838,1.0768185920900823,1.085065516532413,5,5,candidate
